year,f_petrol,f_diesel,f_hybrid,f_PHEV,f_BEV,vehicle_stock (Thousands),distance_travelled (km/year),energy_petrol (TJ),energy_diesel (TJ),ktonneCO2_fuels
1994,92.6,7.4,0,0,0,21199.203,17014.48688,957440,43026,70336.67451
1995,91.1,8.8,0,0,0,21394.103,16983.3308,948200,48564,70094.70461
1996,90.2,9.8,0,0,0,22237.538,17010.5687,957000,61770,71641.53862
1997,89.3,10.7,0,0,0,22831.698,16819.22197,951720,78810,72478.52
1998,88.4,11.6,0,0,0,23293.332,16274.19672,917840,103092,71810.86316
1999,87.7,12.2,0,0,0,23974.937,16411.0643,887920,120558,70929.51111
2000,87,12.9,0,0,0,24405.548,16184.34559,911240,138450,73865.08814
2001,86.1,13.8,0,0,0,25125.867,16021.58543,908600,151656,74620.44221
2002,84.7,15.2,0,0,0,25781.93,15910.13256,894520,156342,73960.72003
2003,83.1,16.8,0,0,0,26240.404,15741.43865,899800,171252,75384.11765
2004,81.3,18.5,0,0,0,27028.099,15406.33239,889680,178494,75212.73177
2005,79.5,20.3,0,0,0,27520.398,15171.61577,875600,192552,75172.43058
2006,77.7,22,0.1,0,0,27609.171,15150.14527,874280,215556,76784.47925
2007,75.9,23.8,0.1,0,0,28000.264,14862.57605,839080,234300,75630.07176
2008,74.2,25.4,0.2,0,0,28160.702,14584.82152,823680,257304,76123.92398
2009,72.5,27.1,0.2,0,0,28246.47,14269.41573,798600,282438,76195.03468
2010,70.7,28.9,0.3,0.001,0.005,28420.877,14393.76793,766040,308850,75766.28583
2011,68.7,30.8,0.4,0.002,0.009,28467.289,14210.5803,745800,333132,76078.60287
2012,66.7,32.7,0.4,0.004,0.014,28722.453,14026.63897,701360,347616,73990.58169
2013,64.8,34.5,0.5,0.006,0.021,29140.937,13948.64562,662640,354006,71791.52759
2014,62.9,36.2,0.6,0.027,0.041,29611.489,13578.04687,620840,365934,69604.88933
2015,61.2,37.8,0.7,0.079,0.068,30250.294,13608.60179,590920,385530,68878.7307
2016,59.7,39.1,0.9,0.159,0.094,30850.44,13463.33476,563200,408108,68618.71554
2017,58.8,39.6,1.1,0.252,0.132,31200.182,13252.83398,535040,419184,67464.70701
2018,58.7,39.3,1.3,0.367,0.176,31517.597,13312.40047,524920,434094,67723.22118
,,,,,,,,,,68835.08497
